target_id	length	eff_length	est_counts	tpm
cgd2_1130-RA	2046	1772	0	0
cgd2_1140-RA	969	695	0	0
cgd2_1150-RA	1008	734	0	0
cgd2_1160-RA	2022	1748	0	0
cgd2_1170-RA	1428	1154	0	0
cgd2_1190-RA	1863	1589	0	0
cgd2_120-RA	368	94.0931	0	0
cgd2_1200-RA	930	656	0	0
cgd2_1210-RA	765	491	0	0
cgd2_1220-RA	1716	1442	0	0
cgd2_1230-RA	2253	1979	0	0
cgd2_1240-RA	1302	1028	0	0
cgd2_1250-RA	2691	2417	0	0
cgd2_1260-RA	2436	2162	0	0
cgd2_1270-RA	2487	2213	0	0
cgd2_1280-RA	2058	1784	0	0
cgd2_1290-RA	1269	995	0	0
cgd2_130-RA	339	66.2053	1	198.769
cgd2_1300-RA	2034	1760	0	0
cgd2_1310-RA	1449	1175	0	0
cgd2_1330-RA	1374	1100	4	47.853
cgd2_1340-RA	2037	1763	0	0
cgd2_1350-RA	1386	1112	1	11.8341
cgd2_1360-RA	1623	1349	4	39.0202
cgd2_1365-RA	80	4.9475	0	0
cgd2_1370-RA	2634	2360	0	0
cgd2_1372-RA	1757	1483	0.00780098	0.0692229
cgd2_1373-RA	7300	7026	89816	168224
cgd2_1375-RA	1758	1484	0	0
cgd2_1376-RA	152	7.16476	0	0
cgd2_1377-RA	3459	3185	0	0
cgd2_1380-RA	885	611	0	0
cgd2_1390-RA	591	317	0	0
cgd2_1400-RA	1842	1568	0	0
cgd2_1410-RA	429	155	0	0
cgd2_1420-RA	1470	1196	0	0
cgd2_1430-RA	1383	1109	0	0
cgd2_1440-RA	771	497	0	0
cgd2_1450-RA	1725	1451	0	0
cgd2_1460-RA	2012	1738	0	0
cgd2_1470-RA	567	293	0	0
cgd2_1480-RA	1317	1043	0	0
cgd2_1490-RA	1002	728	0	0
cgd2_150-RA	1255	981	0	0
cgd2_1500-RA	1623	1349	0	0
cgd2_1510-RA	2418	2144	0	0
cgd2_1520-RA	1779	1505	0	0
cgd2_1530-RA	1212	938	0	0
cgd2_1540-RA	456	182	0	0
cgd2_1550-RA	1488	1214	0	0
cgd2_1560-RA	1599	1325	0	0
cgd2_1570-RA	921	647	0	0
cgd2_1580-RA	366	92.1144	0	0
cgd2_1590-RA	1968	1694	0	0
cgd2_160-RA	1382	1108	0	0
cgd2_1600-RA	2589	2315	0	0
cgd2_1610-RA	1551	1277	0	0
cgd2_1620-RA	759	485	1	27.1331
cgd2_1630-RA	620	346	0	0
cgd2_1640-RA	2367	2093	1	6.28742
cgd2_1650-RA	1407	1133	0	0
cgd2_1660-RA	510	236	0	0
cgd2_1670-RA	354	80.3587	0	0
cgd2_1680-RA	1076	802	0	0
cgd2_1690-RA	303	38.1945	0	0
cgd2_170-RA	470	196	0	0
cgd2_1700-RA	519	245	0	0
cgd2_1710-RA	3504	3230	0	0
cgd2_1713-RA	591	317	0	0
cgd2_1720-RA	1800	1526	0	0
cgd2_1730-RA	1227	953	0	0
cgd2_1740-RA	2409	2135	0	0
cgd2_1745-RA	85	5.05417	0	0
cgd2_1750-RA	1449	1175	0	0
cgd2_1760-RA	1139	865	0	0
cgd2_1770-RA	1278	1004	5	65.5357
cgd2_1780-RA	1317	1043	0	0
cgd2_1790-RA	3120	2846	0	0
cgd2_180-RA	603	329	0	0
cgd2_1800-RA	1315	1041	1	12.6413
cgd2_1820-RA	603	329	1	39.9987
cgd2_1823-RA	496	222	0	0
cgd2_1830-RA	1146	872	0	0
cgd2_1840-RA	1548	1274	0	0
cgd2_1850-RA	981	707	0	0
cgd2_1860-RA	3741	3467	0	0
cgd2_1870-RA	942	668	1	19.6999
cgd2_1880-RA	348	74.5993	0	0
cgd2_1890-RA	705	431	0	0
