geneSymbol	male_CryptoDB_46_rep_1	male_CryptoDB_46_rep_2	male_CryptoDB_46_rep_3	male_CryptoDB_46_rep_4	female_in_vitro_CryptoDB_46_rep_1	female_in_vitro_CryptoDB_46_rep_2	female_in_vitro_CryptoDB_46_rep_3	female_in_vitro_CryptoDB_46_rep_4	female_in_vivo_CryptoDB_46_rep_1	female_in_vivo_CryptoDB_46_rep_2	female_in_vivo_CryptoDB_46_rep_3	female_in_vivo_CryptoDB_46_rep_4	asexual_CryptoDB_46_rep_1	asexual_CryptoDB_46_rep_2	asexual_CryptoDB_46_rep_3	asexual_CryptoDB_46_rep_4
cgd2_2610-RA	7.901271101349413	7.922734709453642	6.67311727314094	7.423765448546959	8.018498963626344	7.915508408170241	7.335026999360024	7.800347162446724	6.483533318695884	6.975715557003189	6.964932417253129	4.581041764464248	5.389873408220399	6.183914930383985	5.307172882800162	5.266176212620423
cgd2_2620-RA	5.973639160521574	6.057507404614128	6.524673374252205	5.717802377748166	4.48295884881638	4.898068074167029	4.843207255925072	0.13242993892958843	4.6691930442778515	4.976536548119057	4.969482662126733	3.1422472732625115	3.6678280627849995	4.553095582545854	3.896980460658774	3.5008792005968754
cgd2_2630-RA	5.5561707355464565	5.6223671110611955	3.6157545481736966	4.721296428697193	6.093595146841027	6.231307104417816	6.070629935757681	4.957547204674272	5.973658506252366	6.253823684062966	6.536876540924768	6.140355996343604	4.785691100520451	4.8584443004253055	5.6233540651511165	4.986518650964186
cgd2_2640-RA	3.324851922659525	4.159348902309995	3.1078852690677223	2.9098728946278665	3.716167028804121	3.8732381050650684	4.523015224279357	0.13242993892958843	4.812756864127296	5.285145766321283	5.366144512881385	6.153464600290214	3.6292112204170435	4.330000682928839	4.36744734762797	3.228086827914124
cgd2_2650-RA	4.889491787811902	4.546262503683797	5.992675409824522	5.186353229971089	5.523489940635605	4.519022994325212	4.370373877665087	0.13242993892958843	5.836183369785838	5.595965579783676	5.546630262727485	3.6839260368686837	5.251263270042862	5.350116571985485	5.3479326011225155	5.251916482482847
cgd2_2660-RA	5.696417453514515	4.803307026885121	5.212204280876877	5.762206837419104	6.415976545758979	6.156651955802702	7.81135559163357	6.642514582503849	8.731682582520776	8.527262632819754	8.196558614419056	8.672582130931767	9.25799308183557	8.121769936022037	8.74626855305799	9.082481047056742
cgd2_2670-RA	7.733699895716819	7.785612839714257	7.435380329024025	7.31644255656536	7.8746997378154795	7.79409977271542	7.3279666136390835	6.941909102454905	5.862642797761937	5.931959511004149	6.10773881817144	4.068561610201199	7.757768883184	7.903140876648886	8.041645007469969	7.77360903178928
cgd2_2680-RA	5.6985840537623424	5.183595862210016	5.981378856492237	5.633544527729496	4.773379007442061	5.447680176520088	4.680066128025919	4.943224492224565	5.923790803331117	5.9057876061599925	5.41748743530608	5.664937631507766	6.65881248709084	6.729009748113549	6.089795018555426	7.2256916946087895
cgd2_2690-RA	2.495482807594486	0.13242993892958585	0.6057609565922908	0.8071269303085425	2.3429372696486386	2.69325121910533	2.866376340914169	0.13242993892958843	2.8791497883620405	2.001389877352418	2.4922342538470224	4.975775704032492	3.9990746471318555	4.712014024971844	3.5135957281738466	4.587543882629093
cgd2_270-RA	6.873012124527449	5.164076984722681	6.140202604972147	6.135725684078108	7.061354403175106	6.994605794937855	5.738131861186213	6.917201587604098	6.935724818108948	6.25660852709392	5.913818941317527	7.70862757866439	8.262053897304185	7.244623417592483	8.003991381269318	8.769390198520938
cgd2_2700-RA	7.188684732403065	7.136757304000447	7.703736259909144	6.421782789909009	7.760215810331094	7.111991409225212	7.923135527286583	7.2498066906284135	7.936587894361767	5.815286974329676	5.48176241769713	7.799559124903575	8.661678603744154	6.898299161663598	7.92419565641823	8.182657932964014
cgd2_2710-RA	4.466074086138417	1.231141870562462	3.4613945505497377	2.721609992908809	3.555136221072845	4.503894825536032	0.13242993892958585	0.13242993892958843	2.7417927331832486	3.1519215239854574	3.6766218486773137	3.1452783638528854	6.079318229530447	4.556394435898027	5.202997255660685	5.119832881348634
cgd2_2720-RA	5.015449036034857	5.780367933113803	1.4874683586057018	0.9783970461008576	4.351370491916449	3.9379146375890737	5.299995271675587	0.13242993892958843	1.071326729151783	4.874803038111137	5.040989863967702	5.152895833822422	5.655778305017653	3.6069370413861215	4.091794666127113	5.1632063472717675
cgd2_2730-RA	5.097230674497164	4.952605114111506	3.186238723229671	5.069818880980032	5.746687546737393	4.762525892820754	4.128028140511533	5.513455465962354	5.198714585339651	6.173483131938296	6.460757886300105	5.2982417109584325	4.684637782504143	5.1004727975347235	6.433543056839836	5.9151525006155365
