geneSymbol	WT_30hrs_vehicle_rep_1	WT_30hrs_vehicle_rep_2	WT_30hrs_vehicle_rep_3	WT_30hrs_Shield_rep_1	WT_30hrs_Shield_rep_2	WT_30hrs_Shield_rep_3	MybM_OE_30hrs_vehicle_rep_1	MybM_OE_30hrs_vehicle_rep_2	MybM_OE_30hrs_vehicle_rep_3	MybM_OE_30hrs_Shield_rep_1	MybM_OE_30hrs_Shield_rep_2	MybM_OE_30hrs_Shield_rep_3
cgd1_3500-RA	4.453030804483815	5.194080611706006	4.4365802409010335	4.418034900617803	4.45271675604056	4.499995579565438	3.832455755507526	3.832455755507523	4.312231313413673	4.408114233712773	3.832455755507523	4.854030394174543
cgd1_3510-RA	4.453030804483815	4.439606720890312	4.4365802409010335	4.418034900617806	3.832455755507523	3.832455755507526	4.407580201128971	3.832455755507523	3.832455755507523	4.408114233712773	4.463803748905587	4.431837137305568
cgd1_3520-RA	3.832455755507526	3.832455755507526	3.832455755507523	3.832455755507526	4.45271675604056	3.832455755507526	4.407580201128971	3.832455755507523	4.312231313413673	3.832455755507523	3.832455755507523	3.832455755507526
cgd1_3530-RA	6.084149172840497	4.865611779994291	6.464854299491558	5.418651281550107	4.45271675604056	3.832455755507526	4.817673399998502	5.653599879410962	6.448071472025425	5.398749819344398	4.901486453908892	5.670533729700505
cgd1_3540-RA	5.487785402108367	3.832455755507526	4.4365802409010335	3.832455755507526	4.45271675604056	3.832455755507526	5.1366267606651155	4.715715055934027	4.9591512117761	4.408114233712773	4.463803748905587	3.832455755507526
cgd1_3570-RA	4.453030804483815	5.194080611706006	5.188694258691831	5.155493620595592	3.832455755507523	5.578101124483457	3.832455755507526	4.715715055934027	4.9591512117761	4.818477123749131	5.508744196890831	4.431837137305568
cgd1_3590-RA	4.453030804483815	4.439606720890312	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	4.407580201128971	3.832455755507523	3.832455755507523	3.832455755507523	3.832455755507523	3.832455755507526
cgd1_3610-RA	3.832455755507526	4.439606720890312	3.832455755507523	4.833380623280831	5.217312215528215	3.832455755507526	4.817673399998502	3.832455755507523	3.832455755507523	3.832455755507523	4.463803748905587	3.832455755507526
cgd1_3640-RA	4.453030804483815	4.865611779994291	5.188694258691831	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	3.832455755507523	4.671652206978158	4.408114233712773	3.832455755507523	3.832455755507526
cgd1_3650-RA	3.832455755507526	4.865611779994291	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	4.407580201128971	4.340649973106039	3.832455755507523	3.832455755507523	3.832455755507523	4.854030394174543
cgd1_3680-RA	9.755156841787871	9.420190714658403	9.280186781817584	9.434179637976753	10.09433643796752	9.818101460983334	9.66123660069187	9.361738514148081	8.767420497376122	8.892658716221971	9.373721745957932	9.366202117853817
cgd1_3690-RA	4.453030804483815	4.865611779994291	4.8611041283824115	4.418034900617806	3.832455755507523	3.832455755507526	4.817673399998502	4.715715055934027	4.671652206978158	4.408114233712773	4.463803748905587	3.832455755507526
cgd1_370-RA	3.832455755507526	3.832455755507526	3.832455755507523	4.418034900617806	3.832455755507523	3.832455755507526	4.407580201128971	3.832455755507523	3.832455755507523	3.832455755507523	3.832455755507523	4.854030394174543
cgd1_3700-RA	4.453030804483815	3.832455755507526	4.4365802409010335	4.418034900617806	3.832455755507523	3.832455755507526	4.407580201128971	3.832455755507523	4.312231313413673	5.137593165388841	4.901486453908895	4.854030394174543
cgd1_3710-RA	3.832455755507526	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	4.340649973106039	4.312231313413673	3.832455755507523	3.832455755507523	4.431837137305568
cgd1_3720-RA	3.832455755507526	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507523	4.499995579565438	3.832455755507526	3.832455755507523	3.832455755507523	4.408114233712773	4.463803748905587	3.832455755507526
cgd1_3780-RA	3.832455755507526	6.472262395110924	3.832455755507523	3.832455755507526	3.832455755507523	4.499995579565438	5.979320058329984	5.259565996816313	5.7438355308568525	4.408114233712773	4.901486453908895	5.180234968943517
cgd1_3810-RA	6.377779468378333	6.889988126901213	6.199952098368245	6.155863354371739	6.923333812109148	4.499995579565438	6.975995374561278	7.006080280438344	7.469518115109665	7.561349130392103	6.8569795952349155	6.776539827296634
cgd1_3820-RA	4.453030804483815	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507523	4.499995579565438	5.618646363939475	4.340649973106039	4.671652206978158	5.137593165388841	3.832455755507523	4.854030394174543
cgd1_390-RA	3.832455755507526	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	4.407580201128971	4.340649973106039	4.312231313413673	4.408114233712773	3.832455755507523	4.431837137305568
cgd1_40-RA	4.453030804483815	3.832455755507526	4.4365802409010335	3.832455755507526	3.832455755507523	3.832455755507526	4.407580201128971	3.832455755507523	3.832455755507523	4.408114233712773	3.832455755507523	3.832455755507526
cgd1_420-RA	4.453030804483815	3.832455755507526	5.45549104716976	3.832455755507526	3.832455755507523	3.832455755507526	4.407580201128971	4.715715055934027	5.404197360314745	4.408114233712773	3.832455755507523	4.431837137305568
cgd1_470-RA	4.453030804483815	4.439606720890312	4.4365802409010335	4.418034900617803	4.45271675604056	3.832455755507526	4.817673399998502	4.340649973106039	4.312231313413673	4.818477123749131	4.463803748905587	4.431837137305568
cgd1_5-RA	12.888222063304958	14.968051789714274	14.889096154446781	14.499420318603775	15.058835038460273	16.12805451282131	14.464260946428368	14.36229734516744	15.432264712255432	16.297842703078675	16.824249791320966	17.194826243888194
cgd1_50-RA	5.2178667333846365	4.865611779994291	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	4.407580201128971	4.340649973106039	3.832455755507523	5.137593165388841	3.832455755507523	3.832455755507526
cgd1_520-RA	5.487785402108367	5.194080611706006	4.4365802409010335	4.418034900617806	5.487172191738964	4.499995579565438	5.979320058329984	6.095616328368465	4.9591512117761	4.818477123749131	4.463803748905587	5.6705337297005025
cgd1_530-RA	3.832455755507526	3.832455755507526	3.832455755507523	3.832455755507526	5.217312215528215	3.832455755507526	4.407580201128971	3.832455755507523	4.312231313413673	3.832455755507523	3.832455755507523	3.832455755507526
cgd1_540-RA	4.453030804483815	3.832455755507526	4.4365802409010335	4.418034900617806	5.217312215528215	3.832455755507526	3.832455755507526	3.832455755507523	4.312231313413673	3.832455755507523	3.832455755507523	3.832455755507526
cgd1_570-RA	3.832455755507526	3.832455755507526	4.4365802409010335	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	4.715715055934027	4.312231313413673	3.832455755507523	4.463803748905587	3.832455755507526
cgd1_580-RA	4.453030804483815	4.865611779994291	4.8611041283824115	3.832455755507526	4.45271675604056	3.832455755507526	4.407580201128971	4.715715055934027	4.312231313413673	3.832455755507523	3.832455755507523	3.832455755507526
cgd1_590-RA	4.453030804483815	5.194080611706006	4.8611041283824115	3.832455755507526	4.45271675604056	3.832455755507526	5.1366267606651155	5.653599879410962	5.1987677873952665	3.832455755507523	5.236832996966132	3.832455755507526
cgd1_620-RA	4.453030804483815	4.439606720890312	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	4.340649973106039	3.832455755507523	3.832455755507523	3.832455755507523	3.832455755507526
cgd1_630-RA	4.885550255049628	5.686946435358077	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	4.407580201128971	4.340649973106039	3.832455755507523	3.832455755507523	3.832455755507523	3.832455755507526
cgd1_640-RA	6.621635533089887	5.881908355257329	5.8752177686656415	5.155493620595592	6.083439368430495	5.299780232858493	6.5077897226592025	6.787824704659651	6.448071472025425	4.408114233712773	5.236832996966132	5.180234968943517
cgd1_700-RA	4.453030804483815	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	4.407580201128971	3.832455755507523	4.312231313413673	3.832455755507523	3.832455755507523	4.431837137305568
cgd1_770-RA	3.832455755507526	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	4.817673399998502	3.832455755507523	4.671652206978158	4.408114233712773	3.832455755507523	5.180234968943517
cgd1_830-RA	4.885550255049628	3.832455755507526	3.832455755507523	4.418034900617806	3.832455755507523	4.9546143527451205	4.817673399998502	3.832455755507523	4.312231313413673	3.832455755507523	3.832455755507523	3.832455755507526
cgd1_850-RA	3.832455755507526	3.832455755507526	3.832455755507523	4.418034900617806	4.8850848317771645	4.499995579565438	5.1366267606651155	5.013117061372674	4.312231313413673	5.137593165388841	4.463803748905587	4.431837137305568
cgd1_870-RA	3.832455755507526	3.832455755507526	4.4365802409010335	3.832455755507526	4.45271675604056	4.499995579565438	3.832455755507526	3.832455755507523	4.671652206978158	3.832455755507523	3.832455755507523	5.446113335078906
cgd1_880-RA	5.9113822897779205	4.865611779994291	5.45549104716976	6.00381918407497	6.083439368430495	4.9546143527451205	5.979320058329984	6.707062509633451	6.352078274635617	5.619799491432049	4.901486453908895	6.035803346663718
cgd1_890-RA	4.885550255049628	3.832455755507526	4.4365802409010335	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	3.832455755507523	4.9591512117761	3.832455755507523	3.832455755507523	3.832455755507526
